Age,Depth,DI_TP,Depth,DI_pH,Depth
1703.19,94.5956,8.3352,126.006,7.40767,126.369
1708.58,92.3406,8.9041,110.391,7.42846,110.391
1713.96,90.2041,8.25109,94.4134,7.52328,94.7765
1717.56,88.4006,7.03569,86.4246,7.50595,86.4246
1722.05,86.5727,8.15332,78.7989,7.6182,78.4358
1726.98,84.6498,8.04935,70.4469,7.61928,70.8101
1731.92,83.0823,8.50031,62.8212,7.56487,62.8212
1735.51,81.3736,7.72967,54.4693,7.60304,54.8324
1740.89,79.5214,7.84761,46.4804,7.53016,46.4804
1746.27,77.8825,7.74333,38.4916,7.56833,38.4916
1749.87,75.9842,7.19119,34.4972,7.62446,34.4972
1755.25,74.3927,7.86127,30.5028,7.68058,30.5028
1760.63,72.6827,8.42365,22.514,7.71876,22.514
1764.23,71.0925,9.76381,14.5251,7.77545,14.5251
1774.98,68.2649,9.98945,10.5307,7.72046,10.5307
1778.57,66.9117,11.2151,6.53631,7.72103,6.53631
1783.95,65.6282,9.66636,-1.45251,7.75921,-1.45251
1789.33,64.1552,,,,
1792.92,62.7783,,,,
1797.85,61.3529,,,,
1802.34,59.8569,,,,
1807.27,58.479,,,,
1810.86,56.9598,,,,
1816.69,55.5813,,,,
1821.62,53.9901,,,,
1825.22,52.3998,,,,
1830.6,50.6662,,,,
1835.98,49.4538,,,,
1839.56,48.6219,,,,
1844.49,47.8838,,,,
1848.97,47.0275,,,,
1853.89,46.1235,,,,
1858.82,45.1011,,,,
1864.64,43.9358,,,,
1866.09,43.6267,,,,
1869.42,42.9608,,,,
1872.71,42.295,,,,
1876.04,41.6291,,,,
1879.28,40.8922,,,,
1882.52,40.1316,,,,
1885.75,39.3947,,,,
1888.99,38.6578,,,,
1892.28,37.9446,,,,
1895.56,37.2551,,,,
1898.8,36.5655,,,,
1902.13,35.8997,,,,
1905.47,35.2575,,,,
1908.8,34.6153,,,,
1912.09,33.9495,,,,
1915.37,33.2599,,,,
1918.71,32.594,,,,
1921.99,31.9282,,,,
1925.28,31.2624,,,,
1928.61,30.6202,,,,
1931.9,29.9306,,,,
1935.23,29.2411,,,,
1938.47,28.4805,,,,
1941.66,27.6962,,,,
1944.84,26.912,,,,
1947.98,26.104,,,,
1951.07,25.2488,,,,
1954.16,24.3461,,,,
1957.1,23.3724,,,,
1960.09,22.3987,,,,
1962.98,21.354,,,,
1965.68,20.2147,,,,
1968.22,19.028,,,,
1970.67,17.7941,,,,
1973.16,16.5838,,,,
1975.66,15.3735,,,,
1978.01,14.0922,,,,
1980.3,12.7635,,,,
1982.65,11.4585,,,,
1984.95,10.1536,,,,
1987.1,8.77765,,,,
1989.15,7.37809,,,,
1991.25,6.00219,,,,
1993.35,4.62629,,,,
1995.15,3.15581,,,,
1996.61,1.5908,,,,
1997.87,-0.021472,,,,
